"day","post","pillar","format","hook","angle","cta"
"1","A","Database reactivation","Talking head","Your leads are not dead. Your follow up is.","Explain how stale contacts can be segmented before new acquisition spend.","Comment AUDIT"
"1","B","Database reactivation","Carousel","Three signs your old database is worth revisiting","Prior engagement, valid contact path, identifiable need.","Save this"
"1","C","Database reactivation","Proof concept","Before and after: messy list to usable pipeline","Use a fictional labeled demo dataset only.","DM CLEAN"
"2","A","Funnel systems","Diagram","A form is not a funnel.","Attention to intake to CRM to follow up to booked conversation.","Save this flow"
"2","B","Funnel systems","Screen demo","Build the thank you page before you buy traffic","Show what a successful form handoff should confirm.","Comment FUNNEL"
"2","C","Funnel systems","Checklist","Funnel QA checklist","Form load, required fields, submit, thank you, CRM receipt, source attribution.","Save for QA"
"3","A","Video systems","Talking head","The best ad may already be in your camera roll.","Show how one founder clip can become several original short form angles.","DM VIDEO"
"3","B","Video systems","Talking head","Six short form angles from one expert answer","Case example, myth, update, warning, mistake, explainer.","Save this"
"3","C","Video systems","Swipe board","Avatar Studio format board","Show six structural formats with fictional sample subjects.","DM AVATAR"
"4","A","Segmentation","Talking head","Stop sending every lead the same message.","Break down hot, warm, dormant, and do not contact states.","Comment SEGMENT"
"4","B","Segmentation","Diagram","A duplicate lead can become two bad follow ups","Show why one identity needs one current record.","Save this"
"4","C","Segmentation","Screen capture","Lead routing rules in plain English","Show deterministic reasons instead of black box scoring.","Comment ROUTE"
"5","A","Conversion","Talking head","Your website has one job after the click.","Show one clear next action and remove competing CTAs.","Save for your site"
"5","B","Conversion","Website teardown","Your CTA should tell people what happens next","Compare vague contact language with a specific next step.","DM CTA"
"5","C","Conversion","Design principle","One page. One action.","Explain why fewer paths can make intake easier to understand.","Save this"
"6","A","Avatar Studio","Talking head","One digital twin should do more than talk.","Show education, FAQ, myth bust, case study, and founder story formats.","DM AVATAR"
"6","B","Avatar Studio","Behind the scenes","Avatar content needs source truth","Show script review, claim check, captions, and final approval.","Save this"
"6","C","Avatar Studio","Standards","What we refuse to fake in AI video","No fake client, result, likeness, or testimonial.","Share this"
"7","A","Data hygiene","Talking head","Before buying more leads, clean the ones you own.","Explain duplicate suppression, bad email handling, and source tagging.","Comment CLEAN"
"7","B","Data hygiene","Whiteboard","The cost of bad contact data","Show bounce, duplicate, wrong owner, stale status, wasted follow up.","Save this"
"7","C","Data hygiene","Founder note","Data cleanup is revenue infrastructure","Explain why organization comes before volume.","DM DATA"
"8","A","CRM follow up","Talking head","A reply is a signal, not a spreadsheet row.","Show how reply status should change the next action.","Save this"
"8","B","CRM follow up","Status lesson","Reply received is not the same as interested","Explain what evidence moves REPLIED to INTERESTED.","Comment STATUS"
"8","C","CRM follow up","Workflow","A clean status system prevents embarrassing follow ups","Show PENDING through CLOSED and DO NOT CONTACT.","Save this"
"9","A","Video strategy","Talking head","Boring expertise makes strong short form content.","Turn one technical answer into hook, example, explanation, CTA.","DM SCRIPT"
"9","B","Video strategy","Script breakdown","Make one thirty second video useful without a sales pitch","Teach one specific thing, then give a native save or share CTA.","Save this"
"9","C","Video strategy","Checklist","Short form QC in five checks","Script match, captions, voice, visuals, claims.","Comment QC"
"10","A","Operations","Talking head","Your CRM should remember what your team forgets.","Explain source, status, last touch, owner, next action.","Comment CRM"
"10","B","Operations","Checklist","Five fields every serious lead record should have","Source, status, last touch, owner, next action.","Save this"
"10","C","Operations","Product proof","Your system should show its work","Show visible routing reasons and audit trail.","DM SYSTEM"
"11","A","Accessibility","Talking head","Accessibility problems are also customer barriers.","Explain observable technical barriers without making legal conclusions.","Save for review"
"11","B","Accessibility","Educational","What automated accessibility scans can and cannot prove","Separate technical findings from legal conclusions.","Comment ADA"
"11","C","Accessibility","Workflow","Scan evidence, then human review","Show issue, page, selector, impact, evidence, repair guidance.","Save this"
"12","A","Creative research","Talking head","Do not copy a competitor ad. Study the structure.","Explain hook, pacing, proof, visual treatment, CTA as reusable structure.","DM FORMAT"
"12","B","Creative research","Creative audit","How to study a viral video without copying it","Extract structure, timing, transitions, proof, and CTA.","Save this"
"12","C","Creative research","Creative board","One source video can inspire many original ideas","Show structure extraction without reusing protected expression.","Comment IDEAS"
"13","A","Compliance","Talking head","A follow up system needs a stop button.","Explain suppression and do not contact states.","Save this rule"
"13","B","Compliance","Flowchart","Every outreach system needs suppression","Show unsubscribe, do not contact, duplicate, invalid contact branches.","Comment SAFE"
"13","C","Compliance","Founder note","Automation without boundaries is a liability","Show approval gates for sends, posts, purchases, and commitments.","Save this"
"14","A","Sales handoff","Talking head","What happens after someone says yes?","Show yes reply to sample to human conversation without auto closing.","Comment YES"
"14","B","Sales handoff","Sales example","The sample should earn the conversation","Explain no attachment first message, yes reply, then relevant sample.","Save this"
"14","C","Offer explainer","Talking head","What Social Following Studios actually builds","Database, funnel, content, and video systems tied to measurable handoffs.","DM SFS"
